node	degree	length	cluster
s3194	2	168	3
s894	4	27057	1
s4806	4	129379	1
s2457	2	822	1
s82525	3	214	3
s4726	2	314	1
s82745	4	59	3
s134618	2	435	1
s82197	2	910	1
s137944	2	104	1
s82494	2	292	3
s82873	3	29	3
s129008	2	88	1
s134741	2	205	1
s82110	2	54	1
s2401	4	20972	3
s4199	4	18	1
s4307	4	135287	3
s1883	4	890192	1
s3868	2	1	1
s3538	3	9	1
s125349	2	10	1
s2409	2	611	3
s2985	3	27	1
s137963	2	33	1
s1913	4	92	1
s82842	2	691	1
s105202	4	338	3
s104908	2	6	1
s3103	2	49	1
s120940	2	38	1
s129183	4	380	3
s129092	2	73	3
s3000	2	73	1
s134721	2	80	1
s1085	4	14431	1
s114599	2	2	1
s1899	2	336	3
s2443	2	129	1
s3367	2	348	1
s256	2	8	1
s120820	2	52	3
s121032	2	1	1
s140234	4	230	1
s81747	2	9	3
s115041	2	232	1
s1066	4	99910	1
s2895	2	289	3
s83252	3	103	1
s114818	4	194	3
s552	2	702	1
s1764	3	88	1
s81436	2	967	1
s105245	4	2045	3
s5068	2	61	3
s2069	6	727452	1
s105380	4	149	1
s1844	2	705	1
s120746	2	1	1
s120968	2	2	1
s114662	2	210	1
s134676	2	367	3
s989	2	1080	1
s1623	4	316466	3
s3711	2	91	3
s82943	4	135	1
s82021	2	60	3
s125505	2	7	3
s4996	2	13	1
s83201	2	1	1
s1607	2	10555	3
s2753	4	7	3
s3969	2	61	3
s1561	3	81	1
s105378	4	77	1
s103	4	32	1
s139625	2	21	1
s81891	2	160	1
s4514	3	16	3
s422	4	9979	3
s4812	4	43593	1
s105403	4	2465	1
s105499	3	1449	1
s131994	2	75	1
s129026	2	6	3
s585	4	97	3
s2432	2	3687	1
s1946	2	9	1
s82536	4	41	3
s5138	2	98	3
s132075	2	933	1
s4324	4	18056	1
s104861	2	15	3
s81953	3	332	1
s134800	2	292	1
s3885	4	15204	1
s82279	3	26	3
s551	4	275	1
s1788	2	12	1
s850	4	32649	1
s4742	4	96724	1
s114910	2	80	3
s1602	2	2	1
s1399	4	9298	3
s129029	4	308	1
s114749	2	140	3
s121176	3	175	1
s82448	3	328	3
s4712	4	10734	1
s2526	2	3	1
s2575	4	71261	3
s89	3	26	3
s2836	2	88	1
s105255	2	6	1
s82120	2	76	3
s120805	2	6	1
s140467	2	76	3
s131926	2	155	3
s5332	4	519	1
s81736	3	83	3
s114764	2	187	1
s2176	4	134774	3
s4271	4	132239	1
s4220	3	170	1
s4954	4	276	1
s105207	2	62	3
s114829	3	269	3
s114849	2	483	1
s4020	2	12	3
s992	4	166788	3
s104918	2	1	3
s1093	4	10776	3
s5191	4	759	1
s433	3	318	1
s1103	4	5450	3
s82727	4	75	1
s115034	2	58	3
s3992	4	28292	1
s114872	3	2330	1
s3429	4	230	3
s4673	4	11054	3
s121090	2	6	3
s104825	2	66	3
s129062	2	102	1
s2453	2	51	1
s143410	2	75	1
s134641	2	13	1
s1807	2	398	3
s120916	2	235	1
s2749	4	19020	3
s811	4	65684	3
s2746	4	128867	3
s120956	2	1455	3
s4407	4	24249	3
s4940	4	163634	1
s105760	3	251	1
s2750	4	100556	3
s105102	2	319	1
s5322	4	5	1
s3823	2	986	1
s105565	2	67	1
s115021	4	116	3
s83320	2	67	1
s378	4	88	1
s114708	3	2223	3
s105580	4	1355	3
s82927	2	340	3
s3639	4	18153	1
s82718	2	4	3
s104969	2	313	1
s4228	4	175062	1
s3402	4	52120	3
s3033	4	34432	1
s82885	2	60	3
s264	2	7	1
s469	4	3728	1
s4393	4	157	3
s82561	2	297	1
s2170	4	15970	3
s5434	2	39	1
s2227	2	100	3
s4883	4	11592	1
s129202	2	324	3
s2785	4	58144	3
s105384	3	573	1
s81663	2	61	3
s5267	2	63	1
s81835	2	339	1
s82751	3	141	1
s125361	3	48716	3
s2070	2	13	1
s82221	2	98	1
s105188	2	61	1
s3927	2	7	1
s2361	4	53239	3
s3942	4	357887	3
s129001	2	58	3
s82013	2	112	1
s815	3	82	3
s1820	4	238	1
s120829	2	213	1
s2692	4	34020	3
s125599	2	73	1
s686	4	31030	3
s81707	2	50	1
s114804	3	765	1
s68	4	1408	3
s238	4	13227	3
s105290	2	364	1
s105754	2	69	1
s131976	2	9	1
s1751	4	7981	3
s104958	4	131	3
s1907	4	22938	1
s1106	2	130	3
s81675	4	45	1
s81466	2	163	1
s82364	2	72	3
s3832	2	51	3
s125461	2	70	3
s143427	2	149	1
s2376	4	209574	1
s81685	3	240	1
s3551	4	345	1
s81374	4	2991	1
